Longitude,Latitude,Order,YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleYear,SampleMonth,SampleDay,NameOfSamplers,WeatherConditions,SampleLocation,SampleMethod,Depth,SampleHour,SampleMinutes,Filtered,Frozen,Parameter,Value,Units,Rep,Fluorometer,AnalysisYear,AnalysisMonth,AnalysisDay,AnalysisHour,AnalysisMinutes,GPSType,Photos,Flag,Comments,ID,LocID
-73.40783333,43.95166667,112,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,0.1,ug/l,1,Beagle,2014,7,8,NA,NA,NA,FALSE,FALSE,,112,9
-73.40783333,43.95166667,113,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,0.1,ug/l,2,Beagle,2014,7,8,NA,NA,NA,FALSE,FALSE,,113,9
-73.40783333,43.95166667,114,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,0.1,ug/l,3,Beagle,2014,7,8,NA,NA,NA,FALSE,FALSE,,114,9
-73.40783333,43.95166667,462,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,17,RFU,3,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,462,9
-73.40783333,43.95166667,408,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,8,18,NA,NA,WL1,Integrated,3,NA,NA,TRUE,FALSE,Phycocyanin,4.5,ug/l,1,Beagle,2014,8,18,NA,NA,NA,FALSE,FALSE,,408,9
-73.40783333,43.95166667,295,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,31,NA,NA,WL1,Integrated,3,NA,NA,TRUE,FALSE,Chlorophyll,0.61,ug/l,3,Beagle,2014,7,31,NA,NA,NA,FALSE,FALSE,,295,9
-73.40783333,43.95166667,293,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,31,NA,NA,WL1,Integrated,3,NA,NA,TRUE,FALSE,Chlorophyll,0.55,ug/l,1,Beagle,2014,7,31,NA,NA,NA,FALSE,FALSE,,293,9
-73.40783333,43.95166667,415,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,8,18,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,4,ug/l,2,Beagle,2014,8,18,NA,NA,NA,FALSE,FALSE,,415,9
-73.40783333,43.95166667,298,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,31,NA,NA,WL1,Integrated,3,NA,NA,TRUE,FALSE,Phycocyanin,0.1,ug/l,3,Beagle,2014,7,31,NA,NA,NA,FALSE,FALSE,,298,9
-73.40783333,43.95166667,457,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,100,RFU,1,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,457,9
-73.40783333,43.95166667,458,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,17,RFU,1,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,458,9
-73.40783333,43.95166667,110,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,1.28,ug/l,2,Beagle,2014,7,8,NA,NA,NA,FALSE,FALSE,,110,9
-73.40783333,43.95166667,111,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,1.02,ug/l,3,Beagle,2014,7,8,NA,NA,NA,FALSE,FALSE,,111,9
-73.40783333,43.95166667,446,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,1,ug/l,2,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,446,9
-73.40783333,43.95166667,447,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,3.25,ug/l,3,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,447,9
-73.40783333,43.95166667,406,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,8,18,NA,NA,WL1,Integrated,3,NA,NA,TRUE,FALSE,Chlorophyll,0.49,ug/l,2,Beagle,2014,8,18,NA,NA,NA,FALSE,FALSE,,406,9
-73.40783333,43.95166667,454,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,13,RFU,2,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,454,9
-73.40783333,43.95166667,304,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,31,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,0.1,ug/l,3,Beagle,2014,7,31,NA,NA,NA,FALSE,FALSE,,304,9
-73.40783333,43.95166667,763,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,76,RFU,1,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,763,9
-73.40783333,43.95166667,410,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,8,18,NA,NA,WL1,Integrated,3,NA,NA,TRUE,FALSE,Phycocyanin,6.5,ug/l,3,Beagle,2014,8,18,NA,NA,NA,FALSE,FALSE,,410,9
-73.40783333,43.95166667,756,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,16,RFU,1,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,756,9
-73.40783333,43.95166667,456,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,15,RFU,3,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,456,9
-73.40783333,43.95166667,755,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,78,RFU,1,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,755,9
-73.40783333,43.95166667,120,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,2,ug/l,3,Beagle,2014,7,9,NA,NA,NA,FALSE,FALSE,,120,9
-73.40783333,43.95166667,119,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,2,ug/l,2,Beagle,2014,7,9,NA,NA,NA,FALSE,FALSE,,119,9
-73.40783333,43.95166667,109,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,1.31,ug/l,1,Beagle,2014,7,8,NA,NA,NA,FALSE,FALSE,,109,9
-73.40783333,43.95166667,757,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,75,RFU,2,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,757,9
-73.40783333,43.95166667,758,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,15,RFU,2,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,758,9
-73.40783333,43.95166667,445,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,3.25,ug/l,1,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,445,9
-73.40783333,43.95166667,413,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,8,18,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,1.83,ug/l,3,Beagle,2014,8,18,NA,NA,NA,FALSE,FALSE,,413,9
-73.40783333,43.95166667,455,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,60,RFU,3,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,455,9
-73.40783333,43.95166667,451,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,54,RFU,1,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,451,9
-73.40783333,43.95166667,450,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,3.18,ug/l,3,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,450,9
-73.40783333,43.95166667,764,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,15,RFU,1,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,764,9
-73.40783333,43.95166667,117,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Chlorophyll,0.64,ug/l,3,Beagle,2014,7,9,NA,NA,NA,FALSE,FALSE,,117,9
-73.40783333,43.95166667,118,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,2,ug/l,1,Beagle,2014,7,9,NA,NA,NA,FALSE,FALSE,,118,9
-73.40783333,43.95166667,453,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,49,RFU,2,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,453,9
